%Data from: http://www.custompuzzlecraft.com/Weather/sandiegorain.txt
1850,0.00,1.13,1.00,0.09,0.00,0.68,0.00,0.00,0.00,0.19,2.82,1.93,7.84,0.03,1.51,0.34,0.87,0.71,0.01,8.41
1851,0.03,1.51,0.34,0.87,0.71,0.01,0.00,0.00,0.02,0.01,0.25,3.74,7.49,0.58,1.84,1.87,0.85,0.32,0.00,9.48
1852,0.58,1.84,1.87,0.85,0.32,0.00,0.00,0.40,0.00,0.06,1.45,4.50,11.87,0.50,0.20,1.52,0.25,2.10,0.05,11.03
1853,0.50,0.20,1.52,0.25,2.10,0.05,0.00,0.21,0.00,0.00,1.28,1.77,7.88,0.99,2.56,1.88,0.89,0.18,0.01,9.77
1854,0.99,2.56,1.88,0.89,0.18,0.01,0.07,1.36,0.09,0.27,0.04,3.29,11.63,1.97,3.59,1.30,1.52,0.06,0.00,13.56
1855,1.97,3.59,1.30,1.52,0.06,0.00,0.00,0.04,0.00,0.11,2.15,0.41,11.15,1.27,1.86,1.59,2.17,0.29,0.00,9.89
1856,1.27,1.86,1.59,2.17,0.29,0.00,0.00,0.00,0.07,0.00,1.22,1.30,9.77,0.26,1.76,0.00,0.04,0.08,0.03,4.76
1857,0.26,1.76,0.00,0.04,0.08,0.03,0.00,0.02,0.01,0.49,2.16,1.30,6.15,1.52,0.44,1.24,0.17,0.00,0.19,7.54
1858,1.52,0.44,1.24,0.17,0.00,0.19,0.00,0.04,0.10,0.47,0.28,3.10,7.55,0.00,1.89,0.20,0.36,0.17,0.00,6.61
1859,0.00,1.89,0.20,0.36,0.17,0.00,0.02,0.00,0.00,0.18,1.49,1.79,6.10,0.72,1.49,0.15,0.65,0.04,0.05,6.58
1860,0.72,1.49,0.15,0.65,0.04,0.05,0.14,0.00,0.00,0.00,2.88,2.99,9.11,0.82,0.79,0.05,0.04,0.00,0.19,7.90
1861,0.82,0.79,0.05,0.04,0.00,0.19,0.00,0.00,1.59,0.05,1.19,3.20,7.92,5.56,1.39,0.97,1.05,0.16,0.48,15.64
1862,5.56,1.39,0.97,1.05,0.16,0.48,0.11,0.00,0.00,0.89,0.05,0.93,11.59,0.32,1.09,0.33,0.13,0.02,0.00,3.87
1863,0.32,1.09,0.33,0.13,0.02,0.00,0.00,0.00,0.36,0.00,0.73,0.04,3.02,0.04,2.50,0.20,0.01,1.25,0.01,5.14
1864,0.04,2.50,0.20,0.01,1.25,0.01,0.11,0.00,0.00,0.04,2.41,1.04,7.61,1.28,3.00,0.00,0.56,0.00,0.01,8.45
1865,1.28,3.00,0.00,0.56,0.00,0.01,1.29,0.00,0.00,0.02,0.52,0.84,7.52,5.05,3.43,1.47,0.11,0.09,0.00,12.82
1866,5.05,3.43,1.47,0.11,0.09,0.00,0.00,0.10,0.00,0.00,0.24,1.82,12.31,1.32,0.85,7.88,0.48,0.04,0.00,12.73
1867,1.32,0.85,7.88,0.48,0.04,0.00,0.00,0.30,0.00,0.34,0.45,3.06,14.72,3.37,1.63,0.73,1.20,0.15,0.00,11.23
1868,3.37,1.63,0.73,1.20,0.15,0.00,0.51,0.00,0.05,0.00,2.00,1.52,11.16,2.88,1.88,1.98,0.53,0.33,0.00,11.68
1869,2.88,1.88,1.98,0.53,0.33,0.00,0.05,0.00,0.00,0.05,2.32,0.94,10.96,0.54,0.77,0.33,0.20,0.28,0.00,5.48
1870,0.54,0.77,0.33,0.20,0.28,0.00,0.04,0.07,0.00,1.54,0.18,0.42,4.37,0.52,1.35,0.01,0.70,0.34,0.00,5.17
1871,0.52,1.35,0.01,0.70,0.34,0.00,0.00,0.00,0.00,0.00,1.33,1.39,5.64,0.99,1.63,0.46,0.26,0.12,0.00,6.18
1872,0.99,1.63,0.46,0.26,0.12,0.00,0.00,0.18,0.00,0.00,0.00,1.43,5.07,0.44,4.21,0.11,0.10,0.03,0.00,6.50
1873,0.44,4.21,0.11,0.10,0.03,0.00,0.00,1.95,0.00,0.00,0.77,5.46,13.07,3.11,3.73,1.20,0.34,0.32,0.00,16.88
1874,3.11,3.73,1.20,0.34,0.32,0.00,0.12,0.00,0.13,0.53,0.88,0.55,10.91,2.38,0.37,0.45,0.12,0.20,0.02,5.75
1875,2.38,0.37,0.45,0.12,0.20,0.02,0.00,0.21,0.39,0.00,2.25,0.41,6.80,2.47,2.44,1.78,0.06,0.05,0.05,10.11
1876,2.47,2.44,1.78,0.06,0.05,0.05,0.03,0.06,0.03,0.08,0.04,0.15,7.24,1.05,0.18,1.44,0.26,0.43,0.00,3.75
1877,1.05,0.18,1.44,0.26,0.43,0.00,0.00,0.00,0.00,0.81,0.06,3.89,8.12,1.45,4.83,1.41,2.91,0.58,0.16,16.10
1878,1.45,4.83,1.41,2.91,0.58,0.16,0.00,0.00,0.00,0.96,0.00,1.57,13.87,3.54,1.04,0.10,0.60,0.00,0.07,7.88
