person_id,is_registered_democrat,score
10539,0,0.33517956
10540,0,0.345314654
10541,0,0.358531082
10542,0,0.368980384
10543,0,9.53E-09
10544,0,0.333661969
10545,0,0.356621903
10546,0,0.330710807
10547,0,8.66E-09
10548,0,0.311179143
10549,0,7.79E-09
10550,0,8.24E-09
10551,0,0.351869999
10552,0,0.329059529
10553,0,0.351130851
10554,0,9.49E-09
10555,0,0.275727009
10556,0,0.275727009
10557,0,7.77E-09
10558,0,0.351130461
10559,0,0.323888078
10560,0,0.341440798
10561,0,0.328861145
10562,0,0.312581151
10563,0,9.18E-09
10564,0,0.343191047
10565,0,0.327440584
10566,0,0.375644467
10567,0,0.307013605
10568,0,0.364833062
10569,0,0.329456172
10570,0,0.361353378
10571,0,0.310005994
10572,0,0.317979202
10573,0,0.336622143
10574,0,8.17E-09
10575,0,8.41E-09
10576,0,0.329367964
10577,0,8.47E-09
10578,0,9.21E-09
10579,0,0.345971883
10580,0,0.348535137
10581,0,9.65E-09
10582,0,0.364364807
10583,0,0.364364807
10584,0,0.327199317
10585,0,0.359444953
10586,0,0.376509102
10587,0,0.313241431
10588,0,0.343857692
10589,0,0.347685592
10590,0,0.352963457
10591,0,0.349541175
10592,0,0.345703673
10593,0,9.53E-09
10594,0,8.51E-09
10595,0,0.329866438
10596,0,0.359174971
10597,0,9.39E-09
10598,0,0.349620935
10599,0,0.340684707
10600,0,0.292925313
10601,0,0.319300223
10602,0,8.46E-09
10603,0,0.341012955
10604,0,0.316110599
10605,0,9.18E-09
10606,0,9.18E-09
10607,0,0.374795785
10608,0,0.338548434
10609,0,0.375673022
10610,0,8.51E-09
10611,0,0.347671305
10612,0,8.83E-09
10613,0,0.315208753
10614,0,0.348876437
10615,0,0.348876437
10616,0,7.58E-09
10617,0,0.305751601
10618,0,0.293079912
10619,0,0.310928549
10620,0,0.360418828
10621,0,0.357708783
10622,0,0.364220478
10623,0,0.296039552
10624,0,0.304345295
10625,0,0.347851204
10626,0,0.316555093
10627,0,0.307381823
10628,0,0.334642871
10629,0,0.328386846
10630,0,0.350926524
10631,0,0.347081928
10632,0,0.377424138
10633,0,0.390779794
10634,0,9.07E-09
10635,0,0.263150271
10636,0,0.297281318
10637,0,6.81E-09
10638,0,0.373078034
10639,0,8.66E-09
10640,0,0.328762886
10641,0,0.322563494
10642,0,7.76E-09
10643,0,0.333009032
10644,0,0.362445766
10645,0,1.01E-08
10646,0,0.268711666
10647,0,0.315327771
10648,0,8.07E-09
10649,0,7.01E-09
10650,0,0.334399973
10651,0,0.328146249
10652,0,0.310326517
10653,0,0.347689174
10654,0,0.326852091
10655,0,0.310916213
10656,0,0.360615312
10657,0,0.315550497
10658,0,7.30E-09
10659,0,0.337070504
10660,0,9.17E-09
10661,0,8.43E-09
10662,0,0.333370344
10663,0,0.343478995
10664,0,8.52E-09
10665,0,0.347205315
10666,0,0.33354651
10667,0,0.373875721
10668,0,8.45E-09
10669,0,0.314178836
10670,0,0.306547542
10671,0,0.369817031
10672,0,0.380400201
10673,0,1.00E-08
10674,0,0.278018379
10675,0,0.325530311
10676,0,0.292525271
10677,0,0.32627569
10678,0,7.67E-09
10679,0,0.332613823
10680,0,0.362034585
10681,0,8.99E-09
10682,0,0.347578729
10683,0,0.341204887
10684,0,0.389736818
10685,0,0.343884777
10686,0,9.29E-09
10687,0,9.83E-09
10688,0,0.31639707
10689,0,0.322534374
10690,0,0.341053606
10691,0,0.36025045
10692,0,8.67E-09
10693,0,8.92E-09
10694,0,0.388289913
10695,0,0.368374473
10696,0,0.338350368
10697,0,0.327099238
10698,0,0.333342908
10699,0,7.70E-09
10700,0,0.342591559
10701,0,0.342591559
10702,0,1.02E-08
10703,0,0.311009911
10704,0,0.289664437
10705,0,7.35E-09
10706,0,0.315229138
10707,0,0.352950342
10708,0,0.352950342
10709,0,9.30E-09
10710,0,0.332261537
10711,0,0.3161858
10712,0,0.349319084
10713,0,0.305839078
10714,0,0.347626699
10715,0,0.33493505
